"sample1","sample2","geo","PCA1","PCA2","PCA3"
"1","1",0,0,0,0
"2","1",79144.0668436473,0.22190814301684,0.954626793463633,1.83267051897135
"3","1",389527.478913233,1.30600499887501,2.50828782680314,2.50023925543687
"4","1",845035.557245506,4.31557220359665,4.52537391572057,4.77582880434474
"5","1",910504.926456603,3.47484509778647,1.79322359202908,4.81186168429305
"6","1",1018533.91622937,2.83351786585156,4.6693639819787,2.05223096354989
"7","1",1327083.92998945,5.10760496083036,7.06811460508354,2.24363949101898
"8","1",1590034.39224834,7.30883560665763,6.3019552947095,3.80516371820812
"9","1",2186676.63885346,7.43307654585898,5.81241413728926,0.420928899396806
"10","1",2208832.9910517,7.3416457204375,6.19562381935062,0.126119736828367
"11","1",2269543.91236769,7.16203930300969,5.21133399029865,2.53940743732556
"12","1",3288211.80170631,6.45959117821428,3.52171279278965,0.06721512520659
"13","1",3425625.65820324,9.49257812059984,1.02056787040899,1.33472553590228
"14","1",3518308.67387826,9.45039394038144,0.197091852447272,2.03521553006012
"15","1",3665937.83148076,8.85475574750408,1.31979321980372,1.22636631418649
"16","1",4094500.60394482,10.5561165080094,0.0468669034825839,3.16354040752147
"17","1",4575897.32392849,7.90798061289549,1.36321079620661,3.57230902349668
"1","2",79144.0668436473,0.22190814301684,0.954626793463633,1.83267051897135
"2","2",0,0,0,0
"3","2",315406.031898545,1.08409685585817,1.55366103333951,0.667568736465514
"4","2",770914.110230818,4.09366406057981,3.57074712225694,2.94315828537339
"5","2",836383.479441914,3.25293695476963,0.838596798565444,2.9791911653217
"6","2",944412.469214676,2.61160972283472,3.71473718851507,0.21956044457854
"7","2",1252962.48297476,4.88569681781352,6.1134878116199,0.410968972047629
"8","2",1515912.94523365,7.08692746364079,5.34732850124587,1.97249319923677
"9","2",2112555.19183877,7.21116840284214,4.85778734382562,1.41174161957454
"10","2",2134711.54403701,7.11973757742066,5.24099702588698,1.70655078214298
"11","2",2195422.46535301,6.94013115999285,4.25670719683502,0.706736918354209
"12","2",3214090.35469162,6.23768303519744,2.56708599932602,1.89988564417794
"13","2",3351504.21118855,9.270669977583,0.0659410769453621,0.497944983069068
"14","2",3444187.22686357,9.2284857973646,1.15171864591091,0.202545011088771
"15","2",3591816.38446607,8.63284760448724,0.365166426340083,0.606304204784865
