"sample1","sample2","geo","PC1","PC2","PC3"
"1","1",0,0,0,0
"2","1",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"3","1",751732.872398842,2.95884755638425,1.60934937563064,0.981298356228657
"4","1",1370531.47120221,2.96362025761539,1.26623497818802,4.48457266666938
"1","2",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"2","2",0,0,0,0
"3","2",675524.120985608,4.44333936923739,1.60971957814759,1.43676446901609
"4","2",1197731.01971067,4.44811207046852,1.26660518070497,2.06650984142464
"1","3",751732.872398842,2.95884755638425,1.60934937563064,0.981298356228657
"2","3",675524.120985608,4.44333936923739,1.60971957814759,1.43676446901609
"3","3",0,0,0,0
"4","3",618890.745628847,0.00477270123113405,0.343114397442626,3.50327431044072
"1","4",1370531.47120221,2.96362025761539,1.26623497818802,4.48457266666938
"2","4",1197731.01971067,4.44811207046852,1.26660518070497,2.06650984142464
"3","4",618890.745628847,0.00477270123113405,0.343114397442626,3.50327431044072
"4","4",0,0,0,0
