"sample1","sample2","geo","PC1","PC2","PC3"
"1","1",0,0,0,0
"2","1",1259365.82390818,0.911253333745247,2.59013794919897,0.147897446940851
"3","1",1489462.69608013,1.98041719141579,6.25234053520813,2.05832367052309
"4","1",1637091.85368263,1.40355531307183,4.76576223187634,1.02870791949922
"5","1",2065654.62614669,3.07228069909646,5.97058527611339,2.90821117916227
"1","2",1259365.82390818,0.911253333745247,2.59013794919897,0.147897446940851
"2","2",0,0,0,0
"3","2",497391.332766274,2.89167052516104,3.66220258600915,2.20622111746394
"4","2",602952.056366756,2.31480864681708,2.17562428267737,1.17660536644007
"5","2",1011033.18980637,3.98353403284171,3.38044732691442,3.05610862610312
"1","3",1489462.69608013,1.98041719141579,6.25234053520813,2.05832367052309
"2","3",497391.332766274,2.89167052516104,3.66220258600915,2.20622111746394
"3","3",0,0,0,0
"4","3",147629.157602504,0.576861878343962,1.48657830333178,1.02961575102387
"5","3",576191.930066564,1.09186350768067,0.281755259094735,0.849887508639178
"1","4",1637091.85368263,1.40355531307183,4.76576223187634,1.02870791949922
"2","4",602952.056366756,2.31480864681708,2.17562428267737,1.17660536644007
"3","4",147629.157602504,0.576861878343962,1.48657830333178,1.02961575102387
"4","4",0,0,0,0
"5","4",428719.643465884,1.66872538602463,1.20482304423705,1.87950325966305
"1","5",2065654.62614669,3.07228069909646,5.97058527611339,2.90821117916227
"2","5",1011033.18980637,3.98353403284171,3.38044732691442,3.05610862610312
"3","5",576191.930066564,1.09186350768067,0.281755259094735,0.849887508639178
"4","5",428719.643465884,1.66872538602463,1.20482304423705,1.87950325966305
"5","5",0,0,0,0
