"sample1","sample2","geo","PC1","PC2","PC3"
"1","1",0,0,0,0
"2","1",79144.0668436476,0.286502425745994,1.0141004404575,1.79539110581248
"3","1",845035.557245506,4.44612434815986,4.59358463446632,4.13703247967621
"4","1",910504.926456601,3.56804181909861,1.83706898305193,4.65733120486752
"5","1",1018533.91622936,2.96163253530673,4.59321443194937,1.71896965443147
"6","1",1327083.92998945,5.22490233545552,6.96370765387271,1.59921782191241
"7","1",1590034.39224833,7.40497190454411,6.20293401009696,3.15573412344756
"8","1",2208832.9910517,7.40974460577525,5.85981961265434,0.347540186993169
"9","1",3288211.80170631,6.49849127203,3.26968166345536,0.49543763393402
"10","1",3665937.83148077,8.81329991884708,1.09405738077799,0.681167732506047
"1","2",79144.0668436476,0.286502425745994,1.0141004404575,1.79539110581248
"2","2",0,0,0,0
"3","2",770914.110230819,4.15962192241387,3.57948419400882,2.34164137386373
"4","2",836383.479441913,3.28153939335261,0.822968542594435,2.86194009905504
"5","2",944412.469214676,2.67513010956073,3.57911399149187,0.0764214513810132
"6","2",1252962.48297476,4.93839990970952,5.94960721341521,0.196173283900075
"7","2",1515912.94523365,7.11846947879812,5.18883356963947,1.36034301763507
"8","2",2134711.54403702,7.12324218002925,4.84571917219684,2.14293129280565
"9","2",3214090.35469162,6.21198884628401,2.25558122299787,2.2908287397465
"10","2",3591816.38446608,8.52679749310109,0.0799569403204961,1.11422337330643
"1","3",845035.557245506,4.44612434815986,4.59358463446632,4.13703247967621
"2","3",770914.110230819,4.15962192241387,3.57948419400882,2.34164137386373
"3","3",0,0,0,0
"4","3",249570.526522632,0.878082529061256,2.75651565141439,0.520298725191306
"5","3",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"6","3",488782.410139953,0.778777987295655,2.37012301940639,2.53781465776381
"7","3",751732.872398842,2.95884755638425,1.60934937563064,0.981298356228657
"8","3",1370531.47120221,2.96362025761539,1.26623497818802,4.48457266666938
"9","3",2449910.28185682,2.05236692387014,1.32390297101096,4.63247011361023
"10","3",2827636.31163127,4.36717557068722,3.49952725368833,3.45586474717016
"1","4",910504.926456601,3.56804181909861,1.83706898305193,4.65733120486752
"2","4",836383.479441913,3.28153939335261,0.822968542594435,2.86194009905504
"3","4",249570.526522632,0.878082529061256,2.75651565141439,0.520298725191306
"4","4",0,0,0,0
"5","4",108349.815180251,0.606409283791878,2.75614544889744,2.93836155043605
"6","4",498240.560488619,1.65686051635691,5.12663867082077,3.05811338295511
"7","4",735982.321311688,3.83693008544551,4.36586502704503,1.50159708141996
"8","4",1304372.39880087,3.84170278667664,4.02275062960241,5.00487139186069
"9","4",2383751.20945548,2.9304494529314,1.43261268040343,5.15276883880154
"10","4",2761477.23922993,5.24525809974848,0.743011602273939,3.97616347236147
"1","5",1018533.91622936,2.96163253530673,4.59321443194937,1.71896965443147
"2","5",944412.469214676,2.67513010956073,3.57911399149187,0.0764214513810132
"3","5",308128.932172726,1.48449181285313,0.000370202516952078,2.41806282524474
"4","5",108349.815180251,0.606409283791878,2.75614544889744,2.93836155043605
"5","5",0,0,0,0
"6","5",438041.824379246,2.26326980014879,2.37049322192334,0.119751832519061
"7","5",675524.120985608,4.44333936923739,1.60971957814759,1.43676446901609
"8","5",1197731.01971067,4.44811207046852,1.26660518070497,2.06650984142464
"9","5",2277109.83036528,3.53685873672327,1.32353276849401,2.21440728836549
"10","5",2654835.86013973,5.85166738354035,3.49915705117138,1.03780192192542
"1","6",1327083.92998945,5.22490233545552,6.96370765387271,1.59921782191241
