sitecode	sitename	lat	long	region	pc1	pc2	pc3
1	Dunganab Bay	21.02395	37.13625	Central Red Sea			
2	Offshore Reefs	20.13892	37.2846	Central Red Sea			
3	Al Hallaniyats	17.48355	55.8773	Oman			
4	Al Wajh	25.39491667	36.68536667	Northern Red Sea			
5	Bay de Ghoubett	11.55966	42.7465	Djibouti			
8	Farasan Islands	16.75265	41.60495	Southern Red Sea			
9	Gulf of Aqaba	28.40386667	34.74066667	Northern Red Sea			
10	Jazirat Burqan	27.909889	35.065417	Northern Red Sea			
12	Masirah Island	20.188806	58.626583	Oman			
13	Mirbat	16.95925	54.75725	Oman			
14	Moucha Maskali	11.69918333	43.14321667	Djibouti			
16	Muscat	23.526972	58.739833	Oman			
18	Hallinyats	17.48355	55.8773	Oman			
19	Socotra	12.6717	54.19608333	Socotra			
20	South Farasan Banks	18.65951667	40.82696667	Southern Red Sea			
22	Thuwal	22.266064	38.963594	Central Red Sea			
