name,country,population,latitude,longitude
Gulf_of_Aqaba,Saudi Arabia,1,28.404,34.738
Jazirat_Baraqan,Saudi Arabia,2,27.90988889,35.06541667
Thuwal,Saudi Arabia,4,22.26606389,38.96359444
Offshore_Reefs,Sudan,6,20.13892,37.2846
South_Farasan_Banks,Saudi Arabia,7,18.65951667,40.82696667
Moucha_Maskali,Djibouti,10,11.759,43.217
Bay_de_Ghoubett,Djibouti,11,11.533,42.667
Socotra,Yemen,12,12.617,54.35
Mirbat,Oman,14,16.95855,54.756572
Al_Hallaniyats,Oman,15,17.483,55.983
Masirah_Island,Oman,16,20.165,58.634
